date,price,spot_vol_1d,miner_balance
9/11/2016,606.3234046,52851800.51,1918384.964
9/12/2016,607.3223157,41175901.45,1918610.446
9/13/2016,608.2890249,48589778.85,1919021.642
9/14/2016,608.7350307,27409964.81,1919074.587
9/15/2016,605.2743671,41047062.53,1919587.324
9/16/2016,607.7392758,44231752.2,1920437.921
9/17/2016,606.8865341,22891946.77,1920409.36
9/18/2016,610.9444637,31582151.8,1917058.991
9/19/2016,608.5191535,34186309.57,1915979.024
9/20/2016,606.7807664,52865329.13,1916517.993
9/21/2016,596.587223,56695266.52,1916786.166
9/22/2016,595.3638256,42811137.68,1917134.377
9/23/2016,601.5785022,29734955.89,1916825.437
9/24/2016,601.0346317,19240088.97,1917365.195
9/25/2016,600.5018579,18183991.15,1917939.853
9/26/2016,606.2001856,36863856.53,1918156.859
9/27/2016,604.6179169,27076534.22,1918115.508
9/28/2016,604.9065178,27665943.47,1918500.983
9/29/2016,605.8710149,27728838.84,1918971.893
9/30/2016,608.9129588,29485188.44,1918335.577
10/1/2016,615.4437867,32240995.97,1919135.622
10/2/2016,611.1847244,20649024.92,1919499.182
10/3/2016,612.7803428,24756905.99,1916001.974
10/4/2016,608.7535531,28985514.12,1916010.069
10/5/2016,611.7243119,46501290.43,1916406.457
10/6/2016,611.3559903,36973470.1,1916843.052
10/7/2016,617.7007338,38325543.22,1914889.114
10/8/2016,619.0011133,22950494.33,1914781.106
10/9/2016,615.6507746,19450703.69,1915567.366
10/10/2016,617.8852701,31481838.16,1914868.747
10/11/2016,642.0432135,60153052.61,1914212.758
10/12/2016,635.7951244,34313991.26,1913875.272
10/13/2016,635.3288217,29750010.01,1913499.682
10/14/2016,638.0457908,32395348.73,1910135.723
10/15/2016,636.7173592,18620230.54,1910423.012
10/16/2016,640.4330295,17522174.7,1910849.267
10/17/2016,638.2363786,28205415.72,1911324.796
10/18/2016,635.2516742,34737212.53,1908866.941
10/19/2016,628.6662998,33882510.81,1909259.24
10/20/2016,628.7118242,25579207.87,1909565.466
10/21/2016,630.4802818,23923237.6,1910212.117
10/22/2016,652.4767976,35381394.66,1910519.223
10/23/2016,650.3057909,24092998.67,1910535.7
10/24/2016,648.7729778,29812140.76,1910474.813
10/25/2016,652.6148721,48503695.62,1910602.433
10/26/2016,674.1736533,41939637.94,1910748.568
10/27/2016,687.4780503,49460195.28,1910778.459
10/28/2016,688.4962939,44380835.23,1909159.529
10/29/2016,714.013205,85875041.05,1908786.881
10/30/2016,697.5440979,52278580.17,1909507.593
10/31/2016,697.0695554,47878329.92,1909891.128
11/1/2016,729.782682,81077415.74,1909315.306
11/2/2016,742.1366007,43813042.41,1909550.013
11/3/2016,687.9545124,99878160.73,1909753.434
11/4/2016,704.0639814,53078063.93,1909969.195
11/5/2016,705.4952688,25180252.24,1909761.632
11/6/2016,716.3226859,30234025.85,1910501.633
11/7/2016,703.0813012,37706189.06,1910415.881
11/8/2016,710.8930104,49735877.66,1910778.169
11/9/2016,721.2385792,94589918.5,1908250.757
11/10/2016,713.3071442,39484781.8,1908724.45
11/11/2016,716.6398744,34078028.34,1908913.845
11/12/2016,704.1206813,42148234.67,1908657.377
11/13/2016,702.3881415,49132816.41,1909007.322
11/14/2016,704.8674759,46801678.41,1909831.582
11/15/2016,712.2453423,49207868.54,1910083.87
11/16/2016,737.3415145,107304890.6,1909641.955
11/17/2016,730.3281411,81844136.42,1909866.227
11/18/2016,748.4639182,58882173.74,1909774.128
11/19/2016,750.7693031,44336162.75,1910191.977
11/20/2016,729.8329977,61714505.22,1910417.259
11/21/2016,736.5494414,39881730.09,1909691.375
11/22/2016,748.0008386,63400097.91,1909623.6
11/23/2016,741.6163279,65966121.66,1908835.213
11/24/2016,737.6106062,58429798.09,1909304.283
11/25/2016,739.7574414,35272487.68,1909851.898
11/26/2016,732.8834415,28793058.99,1910521.66
11/27/2016,728.8590063,27422380.3,1910334.575
11/28/2016,729.913159,35046555.82,1909861.3
11/29/2016,732.0910706,41920798.49,1910318.514
11/30/2016,742.3702971,59456996.03,1909990.624
12/1/2016,753.1630526,63324292.67,1910394.791
12/2/2016,769.7881767,87425543.82,1910610.201
12/3/2016,766.6808824,70665994.33,1911196.277
12/4/2016,765.0191935,27952689.26,1908517.535
12/5/2016,751.844323,73413077.98,1908736.27
12/6/2016,759.5092488,88164955.49,1909147.581
12/7/2016,765.0274255,59480410.81,1908681.659
12/8/2016,767.1251345,47919128.91,1908907.054
12/9/2016,772.4507521,32761283.67,1908717.308
12/10/2016,775.4348079,23789976.45,1908296.3
12/11/2016,769.3897794,29280368.85,1909612.766
12/12/2016,778.2982729,36230179.78,1910523.15
12/13/2016,777.1148525,42009521.79,1910059.037
12/14/2016,777.5387069,32090850.05,1910061.761
12/15/2016,776.1219368,33870268.75,1909650.266
12/16/2016,780.9259173,27664416.1,1909316.667
12/17/2016,788.9255361,27382659.19,1908709.236
12/18/2016,790.4343388,18790611.77,1909153.68
12/19/2016,790.9863472,26577267.42,1908035.139
12/20/2016,799.2034683,43298034.13,1907614.691
12/21/2016,833.3000276,84828111.7,1908074.286
12/22/2016,857.632033,115795648.7,1906369.359
12/23/2016,916.2689181,161825460.7,1905886.074
12/24/2016,892.4642178,79002173.77,1906183.021
12/25/2016,894.8863983,84573284.67,1906595.366
12/26/2016,901.3421393,91215074.67,1906674.951
12/27/2016,927.8784236,93105020.84,1905057.946
12/28/2016,978.6706324,146398710.9,1904246.74
12/29/2016,970.5916247,132668195.9,1904640.456
12/30/2016,960.9125488,135002799.4,1904659.32
12/31/2016,967.742256,54728588.42,1903773.744
1/1/2017,995.9339492,77865047.81,1905734.424
1/2/2017,1014.355144,152582149.6,1905948.202
1/3/2017,1024.435627,118111033.7,1904476.575
1/4/2017,1120.566581,372822171,1903487.755
1/5/2017,1002.922543,475008950.5,1901055.055
1/6/2017,893.5322212,335209197.1,1901064.577
1/7/2017,906.0237001,226143186,1901524.656
1/8/2017,920.0144439,145006690.8,1902222.731
1/9/2017,901.6846048,137026321.1,1901845.723
1/10/2017,905.3372891,103535294.8,1902465.417
1/11/2017,788.6627243,301683083.2,1899008.767
1/12/2017,810.6206347,200856481.5,1899540.838
1/13/2017,826.8820728,160351292.6,1899729.532
1/14/2017,824.472528,80179988.87,1900158.964
1/15/2017,828.2438457,49676307.16,1900760.372
1/16/2017,832.2975704,57948360.26,1901200.618
1/17/2017,905.9891267,125587711.7,1901644.106
1/18/2017,887.432197,111068626.3,1902073.851
1/19/2017,902.5132704,73805254.71,1902647.556
1/20/2017,895.0778349,52810815.85,1903405.983
1/21/2017,923.9705284,57655530.26,1903826.75
1/22/2017,926.2267164,77262608.56,1904531.058
1/23/2017,918.1218197,43424404.68,1904301.603
1/24/2017,886.5455414,84991800.23,1904290.893
1/25/2017,897.3617134,50865431.4,1905262.399
1/26/2017,916.8285987,51638474.74,1905093.421
1/27/2017,921.5422094,43266867.51,1905957.91
1/28/2017,924.7673238,23767441.42,1905932.436
1/29/2017,915.1648755,20442140.29,1904345.994
1/30/2017,922.073811,35197486.65,1904572.585
1/31/2017,968.8802576,93944145.38,1904682.463
2/1/2017,987.7523632,79334723.85,1904864.175
2/2/2017,1008.042423,81080632.13,1905561.41
2/3/2017,1017.479725,117461029.3,1905344.127
2/4/2017,1034.953911,74488417.37,1904864.226
2/5/2017,1015.650747,56236486.7,1904827.917
2/6/2017,1023.152402,51040785.38,1904881.17
2/7/2017,1053.850386,73479889.67,1905569.926
2/8/2017,1053.705062,125737884.2,1896219.808
2/9/2017,988.4129321,288532860.7,1897415.437
2/10/2017,999.564926,122088243.3,1898698.915
2/11/2017,1017.410831,48612581.56,1898796.718
2/12/2017,1007.67454,27547432.92,1899576.406
2/13/2017,1002.274294,68795825.2,1899071.996
2/14/2017,1013.06061,94253031.72,1900082.327
2/15/2017,1013.71922,46843324.49,1900217.017
2/16/2017,1035.586443,63672446.65,1899420.934
2/17/2017,1054.532336,82326055.51,1899440.53
2/18/2017,1061.950521,50357877.5,1900066.58
2/19/2017,1057.251224,41512316.93,1900919.155
2/20/2017,1086.269644,75295764.9,1901412.9
2/21/2017,1126.858935,138295186.2,1901147.475
2/22/2017,1129.850403,100933633.8,1898673.121
2/23/2017,1176.852176,142896619.3,1899120.434
2/24/2017,1185.038952,305165240.7,1898951.635
2/25/2017,1155.393085,142583772.5,1899982.323
